Aircraft Type,Country,Type_of_Travellers,Route,Seat_Types,Seat Comfort,Date Flown,Cabin Staff Service,Ground Service,Food & Beverages,Wifi & Connectivity,Inflight Entertainment,Value For Money,Recommended
A320,Iceland,Couple Leisure,Keflavik  to London,Business Class,3.00,23-Jul,5.00,2.00,4.00,4.00,2.70,3.00,yes
A320,Canada,Solo Leisure,Gibraltar to London Heathrow,Economy Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A321,Qatar,Family Leisure,Madrid to London,Business Class,1.00,23-Jul,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Family Leisure,Rhodes to Gatwick,Economy Class,2.00,23-Jul,3.00,1.00,1.00,1.00,1.00,2.00,no
A320,Spain,Family Leisure,Barcelona to London,Economy Class,1.00,23-Jul,4.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Couple Leisure,Inverness to Los Angeles via London,Premium Economy,1.00,22-Nov,2.30,1.30,2.00,1.00,1.70,1.00,no
A320,Germany,Couple Leisure,London City Airport to Frankfurt,Economy Class,3.00,23-Jul,3.00,1.00,1.70,1.30,2.70,1.00,no
E190,United Kingdom,Business,Amsterdam to London City ,Economy Class,3.00,23-Jul,4.00,1.00,3.00,1.70,2.00,2.00,no
A320,United Kingdom,Couple Leisure,Dalaman to Gatwick ,Business Class,3.00,23-Jun,5.00,5.00,4.00,2.30,3.30,3.00,no
Boeing 787,United Kingdom,Solo Leisure,Seattle to London Heathrow,Economy Class,2.00,23-Jun,2.00,3.00,1.00,1.70,3.00,3.00,no
A320,United Kingdom,Couple Leisure,Gatwick to Dalaman ,Economy Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Family Leisure,London to Rhodes,Business Class,1.00,23-Jul,1.00,1.00,1.00,1.00,1.00,1.00,no
A320 A350,United Kingdom,Family Leisure,Newcastle to Las Vegas via Heathrow,Business Class,4.00,23-Jun,5.00,4.00,4.00,4.30,3.00,4.00,yes
A380,United Kingdom,Solo Leisure,London to Miami,Business Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320Neo,United Kingdom,Solo Leisure,Amman to London,Economy Class,3.00,23-Jul,1.00,4.00,1.00,3.00,1.00,3.00,no
Boeing 777,United Kingdom,Couple Leisure,Chennai to London ,Premium Economy,3.00,23-Jul,2.00,4.00,1.00,1.00,1.00,1.00,no
A321neo,United States,Couple Leisure,Istanbul to London,Economy Class,2.00,23-Jul,2.00,1.00,2.30,1.00,2.00,1.00,no
A320,United Kingdom,Solo Leisure,London to Edinburgh,Economy Class,2.00,22-Nov,5.00,1.00,3.00,1.00,3.00,2.00,no
Boeing 777 -200,United Kingdom,Family Leisure,Kingston to London,Premium Economy,5.00,23-Jun,4.00,3.00,4.00,3.70,3.00,3.00,no
Boeing 777-200,South Africa,Couple Leisure,London Heathrow to Cape Town,Economy Class,1.00,23-Jun,3.00,3.00,1.00,1.00,3.00,2.00,no
A320,United Kingdom,Couple Leisure,London Heathrow to Ibiza,Economy Class,1.00,23-Jul,2.30,1.00,2.00,1.00,1.70,1.00,no
A380,Greece,Business,Washington to London,Business Class,3.00,23-Jun,3.00,1.00,3.00,2.30,3.00,1.00,no
A321,Italy,Couple Leisure,London Heathrow to Naples,Economy Class,1.00,23-Jun,4.00,2.00,1.00,1.00,2.00,2.00,no
A320,Senegal,Solo Leisure,Berlin to London,Economy Class,5.00,23-Jul,5.00,4.00,3.00,5.00,3.00,5.00,yes
A320,United States,Family Leisure,Glasgow to London,Economy Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Arab Emirates,Solo Leisure,Dubai to Keflavik via London,Economy Class,1.00,23-May,1.00,1.00,1.00,1.00,1.00,1.00,no
A321Neo,United Kingdom,Couple Leisure,Cairo to London,Economy Class,1.00,23-Jun,1.00,2.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Solo Leisure,London to Madrid,Economy Class,3.00,23-May,3.00,1.00,3.00,1.30,2.70,1.00,no
A320,United States,Family Leisure,London to Cairo,Economy Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United States,Solo Leisure,New Orleans to London,Economy Class,3.00,23-Jun,3.00,1.00,3.00,1.00,3.00,1.00,no
A320,United States,Couple Leisure,London to Amman,Business Class,1.00,23-Mar,2.30,1.30,2.00,1.00,1.70,1.00,no
A321 neo,United Kingdom,Solo Leisure,Heathrow to Bodrum,Business Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Solo Leisure,Amman to London,Economy Class,1.00,23-Jun,3.00,2.00,1.00,1.00,1.00,2.00,no
Embraer 190,United Kingdom,Family Leisure,London City to Ibiza,Business Class,3.00,23-Jun,5.00,3.00,3.00,2.00,2.30,3.00,yes
A320,United States,Couple Leisure,London to Washington,Economy Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A350,United States,Business,Amsterdam to London,Business Class,3.00,23-Jun,3.00,2.00,3.00,1.00,2.00,2.00,no
Boeing 737,United Kingdom,Couple Leisure,London Heathrow to Kalamata,Economy Class,1.00,23-Jun,4.00,3.00,3.00,2.70,3.30,3.00,yes
A320,United Kingdom,Couple Leisure,London to Funchal ,Economy Class,4.00,23-Jun,4.00,1.00,1.00,2.00,3.00,1.00,no
A320,United States,Family Leisure,Marseille to Seattle via London Heathrow,Economy Class,2.00,23-Jun,3.00,1.00,3.00,2.00,4.00,1.00,no
A320,United States,Solo Leisure,Cairo to London ,Business Class,1.00,23-Jun,3.00,1.00,2.00,2.00,1.00,1.00,no
A320,Romania,Solo Leisure,Bucharest to Dallas via London,Economy Class,2.00,23-Jun,4.00,1.00,3.00,1.00,3.00,1.00,no
A320,United States,Family Leisure,Gatwick to Venice,Economy Class,3.00,23-Jun,5.00,1.00,4.00,2.00,2.30,3.00,no
A320,Australia,Solo Leisure,Dublin to London City,Economy Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United Kingdom,Business,Tokyo to Manchester via Heathrow,Business Class,1.00,23-Jun,1.00,1.00,1.00,1.00,1.00,1.00,no
A320,United States,Solo Leisure,San Francisco to London,Economy Class,1.00,23-Jun,2.30,1.00,2.00,1.00,1.70,1.00,no
Boeing 787,United Kingdom,Family Leisure,Santiago to London,Economy Class,1.00,23-May,2.00,4.00,2.00,2.30,4.00,1.00,no
A320,United States,Couple Leisure,Seattle to Nice via London,Economy Class,4.00,23-Jun,4.00,1.00,5.00,4.00,5.00,2.00,no
A320,United Kingdom,Couple Leisure,Sydney via Singapore to London Heathrow ,Premium Economy,4.00,23-Mar,4.00,5.00,1.00,1.70,1.00,1.00,no
Boeing 777,United States,Business,Seattle to Edinburgh via Heathrow,Economy Class,2.00,23-May,4.00,2.00,4.00,1.00,4.00,2.00,no
A320,Greece,Solo Leisure,Athens to Durban via London Heathrow,Economy Class,4.00,23-Apr,5.00,5.00,3.00,4.00,3.00,4.00,no
A350,United Kingdom,Solo Leisure,Vancouver to London Heathrow,Business Class,5.00,23-May,5.00,4.00,4.00,4.00,5.00,4.00,yes
